"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_2466_1xAAA","~"
"C1","1","C_Polarized_Small","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"J1","1","FLOWMETER","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J2","1","SOIL MOISTURE SENSOR","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","TP4056/OP","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J4","1","TP4056SOLAR/IP","","","","Connector:JWT_A3963_1x02_P3.96mm_Vertical","~"
"J5","1","SOLAR/IP","","","","Connector:JWT_A3963_1x02_P3.96mm_Vertical","~"
"J6","1","VOLTAGE BOOSTER","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J7","1","MQ135","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J8","1","SOUND SENSOR","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J9","1","OLED","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J10","1","BME280","","","","","~"
"J11","1","FLAME SENSOR","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J12","1","HALL SENSOR","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J13","1","RAIN SENSOR","","","","Connector:FanPinHeader_1x04_P2.54mm_Vertical","~"
"J14","1","DUST SENSOR","","","","","~"
"J15","1","RELAY_POWER_OP","","","","","~"
"J16","1","RELAY_IP","","","","","~"
"J17,J18","2","Conn_01x22_Pin","","","","","~"
"R1","1","100K","","","","","~"
"R2","1","R","","","","","~"
"U2","1","MAX471","","","","","http://pdfserv.maximintegrated.com/en/ds/MAX471-MAX472.pdf"
"U4","1","DHT11","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U6","1","RTC DS3231","","","","TC00500:MODULE_TC00500",""
